State,UrbanRatio
Alabama,57.7372395123758
Alaska,64.89948744939602
Arizona,89.28515995660771
Arkansas,55.476131022034025
California,94.23663273890685
Colorado,86.02670655318224
Connecticut,86.25072935131548
Delaware,82.61211700008485
District of Columbia,100.0
Florida,91.53419459121605
Georgia,74.06697294263543
Hawaii,86.06300819572436
Idaho,69.24217527429087
Illinois,86.92747743064824
Indiana,71.17627397602662
Iowa,63.15354117345046
Kansas,72.29903876264517
Kentucky,58.69845240705609
Louisiana,71.54166694398182
Maine,38.6321813853764
Maryland,85.61709920184212
Massachusetts,91.27981169621206
Michigan,73.4743951548282
Minnesota,71.87870520848703
Mississippi,46.290471110624836
Missouri,69.4674806938782
Montana,53.41852475270355
Nebraska,73.00535711372498
Nevada,94.0923090599991
New Hampshire,58.32327304906103
New Jersey,93.75373694934027
New Mexico,74.54713575585046
New York,87.44590990388762
North Carolina,66.7158553738974
North Dakota,60.96684097169276
Ohio,76.28406854286743
Oklahoma,64.62194707064512
Oregon,80.49983291073279
Pennsylvania,76.45389034585125
Rhode Island,91.05249872651108
South Carolina,67.94803088840806
South Dakota,57.21956495505077
Tennessee,66.23336671084846
Texas,83.72027521911183
Utah,89.78141077681488
Vermont,35.120211110022595
Virginia,75.63452388276146
Washington,83.37184588076671
West Virginia,44.647926427595
Wisconsin,67.08313835171619
Wyoming,62.017748083993965
Puerto Rico,91.87534275507825
